Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo),Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Sex,Clutch Completion,Species
4100.0,9.23196,-24.17282,51.0,18.8,203.0,1,1,Chinstrap penguin (Pygoscelis antarctica)
4650.0,8.85939762589928,-25.81355748201439,39.8,19.1,184.0,1,0,Adelie Penguin (Pygoscelis adeliae)
5250.0,8.2066,-26.36863,51.1,16.5,225.0,1,1,Gentoo penguin (Pygoscelis papua)
3600.0,8.36936,-26.11199,38.9,18.8,190.0,0,1,Adelie Penguin (Pygoscelis adeliae)
3700.0,9.14382,-24.57994,58.0,17.8,181.0,0,0,Chinstrap penguin (Pygoscelis antarctica)
4150.0,8.47173,-24.29229,46.0,18.9,195.0,0,1,Chinstrap penguin (Pygoscelis antarctica)
3550.0,8.46531,-26.05621,35.7,18.0,202.0,0,1,Adelie Penguin (Pygoscelis adeliae)
3300.0,9.41131,-25.04169,37.6,19.3,181.0,0,0,Adelie Penguin (Pygoscelis adeliae)
3750.0,8.77322,-26.48973,38.6,17.2,199.0,0,1,Adelie Penguin (Pygoscelis adeliae)
3350.0,8.32718,-26.38396,37.3,17.8,191.0,0,1,Adelie Penguin (Pygoscelis adeliae)
3400.0,9.2881,-25.54976,40.2,17.1,193.0,0,1,Adelie Penguin (Pygoscelis adeliae)
4500.0,10.02544,-24.90816,53.5,19.9,205.0,1,0,Chinstrap penguin (Pygoscelis antarctica)
3900.0,8.92069,-24.23592,50.0,19.5,196.0,1,0,Chinstrap penguin (Pygoscelis antarctica)
3400.0,8.73762,-25.09383,37.8,18.3,174.0,0,1,Adelie Penguin (Pygoscelis adeliae)
3625.0,9.18718,-25.21799,38.9,17.8,181.0,0,0,Adelie Penguin (Pygoscelis adeliae)
4200.0,8.47829,-26.61788,45.5,13.9,210.0,0,0,Gentoo penguin (Pygoscelis papua)
4600.0,8.23468,-26.18599,43.4,14.4,218.0,0,1,Gentoo penguin (Pygoscelis papua)
5150.0,8.1631,-25.38017,46.8,15.4,215.0,1,1,Gentoo penguin (Pygoscelis papua)
3350.0,9.36668,-24.45195,42.5,16.7,187.0,0,1,Chinstrap penguin (Pygoscelis antarctica)
5500.0,8.32359,-26.05756,46.8,16.1,215.0,1,1,Gentoo penguin (Pygoscelis papua)
4550.0,7.9953,-25.32829,46.5,13.5,210.0,0,1,Gentoo penguin (Pygoscelis papua)
4500.0,8.67538,-25.13993,42.5,20.7,197.0,1,1,Adelie Penguin (Pygoscelis adeliae)
4700.0,8.12311,-26.44815,41.7,14.7,210.0,0,1,Gentoo penguin (Pygoscelis papua)
5300.0,8.55868,-26.67799,45.2,15.8,215.0,1,1,Gentoo penguin (Pygoscelis papua)
4950.0,7.96935,-26.70968,42.6,13.7,213.0,0,1,Gentoo penguin (Pygoscelis papua)
6300.0,8.27376,-25.00169,49.2,15.2,221.0,1,1,Gentoo penguin (Pygoscelis papua)
3325.0,9.17847,-25.23061,36.4,17.0,195.0,0,1,Adelie Penguin (Pygoscelis adeliae)
3450.0,9.77528,-24.56481,52.2,18.8,197.0,1,1,Chinstrap penguin (Pygoscelis antarctica)
3800.0,7.88494,-26.24837,36.7,18.8,187.0,0,1,Adelie Penguin (Pygoscelis adeliae)
3475.0,9.23408,-26.01549,40.6,17.2,187.0,1,1,Adelie Penguin (Pygoscelis adeliae)
5850.0,8.08354,-26.18161,55.1,16.0,230.0,1,1,Gentoo penguin (Pygoscelis papua)
4150.0,8.87988,-25.18543,42.3,21.2,191.0,1,1,Adelie Penguin (Pygoscelis adeliae)
4000.0,9.22537,-25.60826,40.6,19.0,199.0,1,1,Adelie Penguin (Pygoscelis adeliae)
4000.0,9.70465,-24.53494,55.8,19.8,207.0,1,1,Chinstrap penguin (Pygoscelis antarctica)
3875.0,9.59462,-25.42621,41.4,18.5,202.0,1,1,Adelie Penguin (Pygoscelis adeliae)
6000.0,8.33825,-25.88547,48.8,16.2,222.0,1,1,Gentoo penguin (Pygoscelis papua)
5700.0,8.38324,-26.84272,49.6,16.0,225.0,1,0,Gentoo penguin (Pygoscelis papua)
5950.0,8.29226,-26.21019,49.8,15.9,229.0,1,1,Gentoo penguin (Pygoscelis papua)
3150.0,9.68933,-24.4228,36.5,18.0,182.0,0,1,Adelie Penguin (Pygoscelis adeliae)
3600.0,8.58063,-26.21569,37.6,17.0,185.0,0,1,Adelie Penguin (Pygoscelis adeliae)
5500.0,8.78557,-25.76147,51.5,16.3,230.0,1,1,Gentoo penguin (Pygoscelis papua)
3650.0,8.66496,-25.29805,39.3,20.6,190.0,1,1,Adelie Penguin (Pygoscelis adeliae)
3300.0,9.74144,-24.59467,46.7,17.9,195.0,0,0,Chinstrap penguin (Pygoscelis antarctica)
3600.0,9.75486,-24.31198,49.7,18.6,195.0,1,1,Chinstrap penguin (Pygoscelis antarctica)
3400.0,9.46819,-24.45721,50.1,17.9,190.0,0,1,Chinstrap penguin (Pygoscelis antarctica)
3750.0,8.85939762589928,-25.81355748201439,39.1,18.7,181.0,1,1,Adelie Penguin (Pygoscelis adeliae)
3700.0,8.79581,-24.36088,51.3,19.9,198.0,1,1,Chinstrap penguin (Pygoscelis antarctica)
3750.0,9.108,-25.89677,37.6,19.1,194.0,1,1,Adelie Penguin (Pygoscelis adeliae)
3800.0,8.56674,-25.98843,40.6,18.8,193.0,1,1,Adelie Penguin (Pygoscelis adeliae)
3800.0,8.85939762589928,-25.81355748201439,38.6,21.2,191.0,1,1,Adelie Penguin (Pygoscelis adeliae)
